bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,million_dollars
3,2.5,2753,65005,1,1
3,1,1190,9199,0,0
3,1.75,1260,8400,0,0
4,2.5,3450,39683,0,0
3,1.75,1960,15681,0,0
3,2.5,2070,13241,0,0
4,1,2550,4000,0,0
5,2,2260,12500,0,0
3,2.5,1910,66211,0,0
2,1,1000,10200,0,0
3,2,2220,94300,0,0
3,2,1810,7209,0,0
1,0.75,760,10079,1,0
4,2,2050,4400,0,0
4,1.75,1275,20000,0,0
1,0.75,560,12120,0,0
2,1,833,143947,0,0
4,1.75,2085,174240,0,0
5,4.25,6070,171626,0,1
3,1,940,7980,0,0
3,3,1970,20978,1,0
1,0.75,430,5050,0,0
3,2.75,3080,19635,0,0
6,5,6050,230652,0,1
3,1,1040,7405,0,0
4,1.75,2320,12000,0,0
3,1,1180,3400,0,0
2,0.75,1160,15029,0,0
3,1.75,1430,10816,0,0
4,1.75,1800,4180,0,0
4,1.75,1710,7140,0,0
3,2,1300,9644,0,0
3,3.25,2660,17852,0,0
4,1.75,2510,7440,0,0
0,0,3064,4764,0,1
4,1,1820,5400,0,1
3,1.75,1660,16275,0,0
3,1,1250,18616,0,0
3,2.25,1580,47916,0,0
2,1,970,2970,0,0
3,2.25,2000,217800,0,0
4,4.5,5670,84267,0,0
3,1,1520,2500,0,0
2,1.75,1000,1760,0,0
3,2.5,1940,4000,0,0
2,0.75,440,8313,1,0
3,1,1330,40259,0,0
2,2,2930,14057,0,0
3,1.75,1150,17585,0,0
3,2.5,1260,889,0,0
3,1.75,1410,16105,0,0
4,2.5,1980,5000,0,0
2,2.5,2410,102366,0,0
5,2.75,3030,7000,0,0
5,2.25,2120,4000,0,0
2,1,960,28717,0,0
3,1,1370,17859,0,0
3,2.75,2150,31238,0,0
3,1.75,1620,1325,0,0
3,1.5,1200,890,0,0
3,2.5,2270,100545,0,0
3,1.75,1250,10122,0,0
3,1,1500,2555,0,0
3,1,1090,10620,0,0
3,2.5,2490,21937,0,0
3,0.75,920,20412,1,0
3,1.75,1650,3200,0,0
4,2.5,3350,46748,0,0
3,1.75,1100,7224,0,0
3,1.75,1070,7200,0,0
4,2.25,2320,8760,0,0
1,2,3000,204732,0,0
3,2,1810,2159,0,0
2,1.75,1210,131115,0,0
3,1.75,1740,46580,0,0
4,3,3130,2646,0,1
5,2.75,2560,5618,0,1
3,1,1010,10168,0,0
2,1,840,12252,0,0
2,1,1300,11867,0,0
4,2.5,2940,156988,0,0
3,2.5,2660,206480,0,0
4,1.75,2020,16120,0,0
4,3.75,4090,24825,0,1
2,1.5,1008,26487,1,0
1,1,960,40946,0,0
4,2.5,2960,4760,0,1
3,3.25,1490,857,0,0
3,2.25,1480,97138,0,0
4,1.5,1890,10707,0,0
2,2,1410,12282,0,0
3,3,2400,4000,0,0
4,2.75,2300,37533,0,0
3,1.5,1460,9908,0,0
3,1.75,2600,7668,0,0
3,1.5,1320,9750,0,0
3,1,1190,11120,0,0
4,1.75,2430,13211,0,0
3,2.5,2280,58712,0,0
3,1.75,2600,105587,0,0
2,1,1270,19602,0,0
3,2.5,1660,1545,0,0
3,2.75,3150,219978,0,0
2,1.5,980,5000,0,0
3,1.5,1510,9898,0,0
3,1,1030,9120,0,0
3,2.5,1480,7200,0,0
3,2,1760,43575,0,0
3,1.75,1580,19998,0,0
3,1,1470,7350,0,0
3,2,1380,8536,0,0
1,1,780,10235,0,0
3,1.5,1750,12500,0,0
4,2.5,3130,60467,0,0
3,1,1150,8050,0,0
3,1,940,9272,0,0
3,1.5,1050,57499,0,0
3,2.75,2830,505166,1,0
4,3.5,4860,23885,0,1
3,2.5,3360,218235,0,0
3,1,930,9900,0,0
3,1.75,1370,19550,0,0
3,1,1750,8820,0,0
3,2.25,1920,7840,0,0
2,1,940,15450,0,0
3,1.75,1630,9450,0,0
3,3.25,3710,38509,0,0
3,1.5,1180,9048,0,0
3,1,1050,5233,0,0
3,2.5,2030,7770,0,0
3,1,1350,7560,0,0
6,2.25,4910,6600,0,1
1,1,630,1362,0,0
2,1.5,1556,20000,0,0
2,1.75,1150,2723,0,0
3,1,1810,13068,0,0
2,1,1120,9912,0,0
3,1.75,2130,5489,0,0
3,1.5,1810,349351,0,0
3,2.25,1940,217800,0,0
2,1.75,1560,1750,0,0
4,2.25,1860,9576,0,0
3,1.5,1870,3300,0,0
2,1,900,7500,0,0
6,1,1730,2760,0,0
3,2.75,1840,68479,0,0
1,1,850,6567,0,0
3,2,2420,208652,0,0
2,1,1220,7250,0,0
4,1.75,2410,6000,0,1
3,3.25,1490,902,0,0
4,3.5,4210,18564,0,1
3,2.5,1980,2975,0,0
2,2.75,1992,10946,1,0
3,3.5,1540,1427,0,0
3,2.5,2680,327135,0,0
4,2.5,2490,11650,0,0
3,1.5,1140,4800,0,0
3,3.25,3786,38038,1,1
2,1,730,6728,0,0
4,2.25,2620,98881,0,0
3,1.75,1350,7588,0,0
3,1,1280,10500,0,0
5,2,3370,5000,0,0
3,1.75,1770,8235,0,0
3,1,1220,8119,0,0
3,1,1220,8119,0,0
3,2,1780,11342,0,0
3,1.75,1540,10400,0,0
3,3.5,1560,1490,0,0
4,5.5,7080,16573,0,1
3,1,1060,9954,0,0
3,0.75,490,38500,0,0
2,2.5,1360,2070,0,0
9,3,3680,4400,0,0
3,2,1880,3000,0,0
5,2.25,1970,15247,0,0
4,1.5,2130,8800,0,0
3,3,3290,80471,0,0
3,1.75,1340,196020,0,0
3,1,1340,21336,0,0
2,1,1120,88327,0,0
3,1,990,8255,0,0
3,1.75,2240,78225,0,0
3,1,1980,3243,0,0
5,5.75,9200,35069,0,1
3,2.25,1640,7630,0,0
2,3,2560,982278,0,0
4,2.75,3040,2800,0,0
5,1.75,1400,5071,0,0
3,2,2064,46173,0,0
3,2,3650,843309,0,0
3,3,3740,39640,0,0
3,1.75,1726,197326,0,0
3,1.75,2220,216493,0,0
5,2.5,2860,4000,0,1
2,1.5,1560,10807,0,0
4,2.5,2770,63118,0,0
3,2.5,1760,8584,0,0
7,2.75,3410,4056,0,0
2,1,1040,20524,0,0
3,1,1320,8500,0,0
5,3.75,6810,7500,0,1
4,2.25,1950,5950,0,0
4,2.5,2190,7125,0,0
3,1.75,1300,20700,0,0
3,1.75,1300,20700,0,0
4,2,1540,7575,0,0
4,1.75,2440,7350,0,0
4,2,1850,7560,0,0
2,1,2034,13392,1,0
4,3.5,5830,131116,0,1
2,1,1110,3500,0,0
3,1.75,1570,8750,0,0
2,2.5,1880,40575,0,0
3,1,1360,13000,0,0
4,3,2680,15438,0,1
4,1,1570,4000,0,0
